Fecha;Item 1;item 2;Item 3;Item 4;Item 5;Item 6;Item 7;Item 8;Item 9;Item 10;Item 11;Item 12;Item 13;Item 14;Item 15;Item 16;Item 17;Item 18;Item 19;Item 20;Item 21;Item 22;Item 23;Item 24;Item 25;Item 26;Item 27;Item 28;Item 29;Item 30;Item 31;Item 32;Item 33;Item 34;Item 35;Item 36;Item 37;Item 38;Item 39;Item 40;Item 41;Item 42;Item 43;Item 44;Item 45;Item 46;Item 47;Item 48;Item 49;Item 50;Item 51;Item 52;Item 53;Item 54;Item 55;Item 56;Item 57;Item 58;Item 59;Item 60;Item 61;Item 62;Item 63;Item 64;Item 65;Item 66;Item 67;Item 68;Item 69;Item 70;Item 71;Item 72;Item 73;Item 74;Item 75;Item 76;Item 77;Item 78;Item 79;Item 80
21/03/2021;1588;988;768;0;13;122;-6;0;-5;872;20;12;-12;17;0;5;0;0;5;3;4;0;0;230;0;-60;0;0;0;6;-5;-14;0;0;0;0;0;0;24;0;0;0;-9;0;-1584;0;0;0;-120;0;-3;0;0;0;-384;0;0;0;-60;2;0;-200;-60;0;0;-1584;200;-60;0;0;-192;0;0;0;-144;0;0;200;-1920;0
28/03/2021;1180;1236;1272;7;7;174;9;12;35;0;8;4;27;6;60;6;149;0;4;0;2;51;0;0;0;84;0;0;0;0;0;40;0;12;0;0;0;0;72;0;2;0;6;0;0;0;0;0;0;0;7;0;0;0;0;0;3;0;0;0;0;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4/04/2021;1810;718;1308;0;15;40;4;20;85;0;114;4;15;7;162;0;275;0;6;13;5;50;1;0;0;150;0;5;0;150;0;-1;0;13;0;0;2;0;172;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/04/2021;720;2076;1048;0;9;63;0;13;50;0;144;4;8;0;62;5;29;0;27;3;1;119;0;100;0;111;0;8;0;18;0;0;0;20;0;0;0;0;104;0;0;0;0;0;0;0;0;0;60;1;34;0;0;0;0;0;0;0;0;3;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18/04/2021;1296;2404;1620;0;6;165;21;14;38;0;169;0;12;2;288;2;1;0;16;8;37;30;0;20;0;15;0;0;0;9;0;0;0;41;0;0;0;0;8;0;0;0;1;0;3600;0;0;0;20;0;0;0;0;0;504;0;0;0;0;0;0;24;0;0;0;1608;0;0;0;0;100;0;0;0;0;0;0;0;2600;0
25/04/2021;2748;2736;1528;1;72;69;12;10;96;4008;112;41;66;6;81;11;46;0;0;10;0;96;0;0;0;120;0;7;0;24;0;8;0;0;0;0;0;0;80;0;0;0;11;0;0;0;168;0;416;0;21;0;0;0;0;0;0;0;0;0;0;744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2/05/2021;1952;2812;2656;15;17;277;7;32;68;150;558;4;25;13;70;24;17;0;2;15;13;50;1;0;0;24;0;5;0;0;3;0;1;12;0;0;2;1;40;0;1;0;1;1;0;1;0;0;130;0;1;0;0;0;0;0;0;0;0;2;0;110;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
9/05/2021;444;788;604;0;-7;103;1;8;0;3168;0;5;0;2;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/05/2021;432;448;304;7;0;0;4;0;30;0;108;0;0;2;0;6;8;0;0;0;0;6;0;250;0;3;0;0;0;0;0;0;0;5;21;0;0;0;0;0;1;58;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;250;0;0
23/05/2021;1552;1104;656;3;15;127;9;0;41;780;70;20;13;8;144;70;0;0;0;2;8;39;0;0;0;42;0;2;0;21;15;0;0;1;0;0;34;0;72;0;0;50;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/05/2021;262;576;480;5;58;7;10;32;118;948;36;0;3;5;81;26;41;0;0;1;0;27;0;-20;0;24;2;3;0;9;0;3;0;1;0;0;34;0;40;0;2;15;0;0;4500;0;240;0;40;0;0;0;0;240;800;0;0;0;0;0;240;372;20;0;0;0;0;40;0;0;32;0;2;0;42;0;0;0;4500;0
6/06/2021;1420;1839;1260;0;13;120;7;0;3;384;68;0;14;33;51;-5;0;0;0;0;0;30;0;0;0;6;0;0;0;18;0;2;0;4;0;0;0;0;0;0;1;0;0;0;5976;0;768;0;20;2;0;0;0;240;384;0;0;0;50;0;0;144;20;0;0;3588;0;0;0;0;144;0;0;0;0;0;0;0;6480;0
13/06/2021;656;852;528;2;16;44;13;60;0;36;160;11;20;2;0;14;2;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;110;0;0
20/06/2021;1336;1480;1500;6;46;55;-3;-30;60;168;0;0;14;9;0;4;15;0;0;10;2;21;0;0;0;42;0;0;0;6;0;0;0;4;0;0;0;0;72;0;0;0;-4;0;0;0;0;0;20;0;8;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
